case,phi1_deg,response_phi2_deg,valid_phi2_deg,response_distance_kpc,valid_distance_kpc,response_pm1_masyr,valid_pm1_masyr,response_pm2_masyr,valid_pm2_masyr
G5,-83.0,0.034041367720120785,False,-0.002863678554324345,False,0.020415693814625158,False,-0.0004200467430437449,False
G5,-81.0,nan,False,nan,False,nan,False,nan,False
G5,-79.0,nan,False,nan,False,nan,False,nan,False
G5,-77.0,0.03751979637763969,False,-0.012364459636851954,False,-0.02733643720738499,False,-0.010339460309666482,False
G5,-75.0,0.04627447280029129,False,-0.009902122246771228,False,0.012843006279247504,False,-0.002702868053740648,False
G5,-73.0,0.026138375884308562,False,-0.011233585653174671,False,-0.021867333001836187,False,-0.0031333317637032287,False
G5,-71.0,0.04970733889764278,False,-0.012948139958970373,False,-0.03879462930163946,False,-0.0043313222210730196,False
G5,-69.0,0.030007987327542285,False,-0.014360015716554209,False,-0.025860090696633975,False,-0.001598586222440801,False
G5,-67.0,0.020600900848680936,False,-0.013174478437721682,False,-0.03702128586871645,False,-0.00012949627552760745,False
G5,-65.0,0.03780024894919243,False,-0.014225380408574573,False,-0.033693982785585774,False,-0.002282457909251967,False
G5,-63.0,0.020873137264472374,False,-0.014606005683899248,False,-0.033328015617300366,False,-0.0009714577361039645,False
G5,-61.0,0.023641253794582484,False,-0.01464459276690988,False,-0.034254239677220966,False,-0.0012315537492439965,False
G5,-59.0,0.01538767326021262,True,-0.015753083441179427,True,-0.03785167098997633,True,-0.0015543612742296986,True
G5,-57.0,0.011585508020079516,True,-0.01727342459470993,True,-0.03996055298060597,True,-0.0014542209301433573,True
G5,-55.0,0.007002089832043479,True,-0.016625706160735554,True,-0.039142826753970184,True,-0.0014355623960793373,True
G5,-53.0,0.004309973206270745,True,-0.015706631952085104,True,-0.035877760889000854,True,-0.0011914658426848135,True
G5,-51.0,0.001545914729056852,True,-0.015938319914022614,True,-0.03468449722972622,True,-0.0017310686002263154,True
G5,-49.0,-0.006624343895623164,True,-0.017207363809195186,True,-0.03760513570349744,True,-0.0025644465219114565,True
G5,-47.0,-0.021063228986304916,True,-0.01957693821375628,True,-0.04458634632431213,True,-0.003139548388542579,True
G5,-45.0,-0.02787970386500324,True,-0.01751363870173872,True,-0.03824213617083139,True,-0.0033941132224559745,True
G5,-43.0,-0.028512889142987663,True,-0.01736235437111766,True,-0.03907429889590297,True,-0.0038981907267570115,True
G5,-41.0,-0.042461218815136675,True,-0.02066176875665171,True,-0.046420015979419915,True,-0.007070440301221836,True
G5,-39.0,-0.0189367681833299,True,-0.008751497248395523,True,-0.017579366819827413,True,-0.00577087116231878,True
G5,-37.0,-0.008356830853725294,True,-0.005114971659873291,True,-0.011026012822302533,True,-0.0019453957916670817,True
G5,-35.0,-0.018270820478427457,True,-0.005898510430070836,True,-0.01088020687250335,True,-0.0010577517256171731,True
G5,-33.0,-0.001928310923702825,True,0.000779175902174245,True,0.005271415868241647,True,0.0005186269568908664,True
G5,-31.0,0.026646079268868167,True,0.009530313553947067,True,0.024862299242542463,True,0.008489715090750583,True
G5,-29.0,-0.0017827389663334081,True,0.000722640524063678,True,0.003167592116330553,True,0.0006536748899268474,True
G5,-27.0,-0.01705479464205234,True,-0.00447190240014983,True,-0.006918019347912363,True,-0.0023205496776523837,True
